@RELATION EOS_NEOS
@ATTRIBUTE class   {EOS,NEOS}
@ATTRIBUTE R1islower   {1,0}
@ATTRIBUTE L1isTitle   {1,0}
@ATTRIBUTE L1isAbbrevs   {1,0}
@ATTRIBUTE L1isInternal   {1,0}
@ATTRIBUTE L1isTimeterm   {1,0}
@ATTRIBUTE L1isUnlikely   {1,0}
@ATTRIBUTE Comma   {1,0}
@ATTRIBUTE Period   {1,0}
@ATTRIBUTE L1isUpper   {1,0}
@ATTRIBUTE R1isUpper   {1,0}
@ATTRIBUTE L1isNum   {1,0}
@ATTRIBUTE L1R1isQuestionMarkExclamation   {1,0}
@ATTRIBUTE L1P   {1,0}
@ATTRIBUTE R1P   {1,0}
@ATTRIBUTE R1isCommaPeriod   {1,0}
@ATTRIBUTE L1Length   NUMERIC
@ATTRIBUTE R1Length   NUMERIC
@ATTRIBUTE Llength   NUMERIC
@ATTRIBUTE Rlength   NUMERIC
@ATTRIBUTE Nspace   NUMERIC
@DATA
EOS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,3,198,871,2
EOS,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,9,3,62,0,0
EOS,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,6,3,47,0,0
EOS,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,2,3,11,0,0
EOS,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,9,2,9,15,2
EOS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,5,172,46,2
EOS,1,1,1,1,1,0,0,1,1,0,1,1,1,0,1,4,3,63,0,0
EOS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,8,3,86,40,2
EOS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,3,26,146,2
NEOS,1,1,0,1,1,1,0,1,1,0,1,1,1,1,0,3,1,137,21,0
EOS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9,3,140,155,2
EOS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9,9,61,62,1
EOS,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,7,1,30,41,1
EOS,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,3,5,173,62,1
EOS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,23,63,2
EOS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,8,86,49,1
EOS,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,5,3,38,0,0
EOS,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,7,3,137,0,0
EOS,1,1,1,1,1,1,0,1,1,0,1,1,1,0,1,9,3,78,0,0
EOS,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,3,11,0,0
NEOS,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,5,15,39,1
EOS,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,10,3,80,0,0
EOS,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,2,8,44,49,2
EOS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,4,37,11,2
EOS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,3,72,128,2
EOS,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,9,3,270,0,0
NEOS,1,0,0,1,1,1,1,0,0,1,1,1,1,1,1,2,7,1,56,1
EOS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,3,30,94,3
NEOS,0,1,0,1,1,1,1,0,1,0,1,1,1,1,1,2,2,171,506,1
NEOS,0,0,0,1,1,1,0,0,0,0,1,1,1,1,1,2,3,12,17,1
EOS,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,4,2,69,253,2
EOS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9,3,75,182,1
EOS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9,6,44,26,1
EOS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,2,5,31,2
EOS,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,10,5,9,6,2
EOS,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,4,3,18,51,1
EOS,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,4,3,42,19,2
EOS,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,4,1,29,38,2
EOS,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,9,1,84,101,2
EOS,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,7,10,132,2,2
EOS,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,5,3,198,0,0
EOS,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,7,7,28,13,2
EOS,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,3,3,31,10,2
EOS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9,2,84,65,1
EOS,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,8,6,49,17,1
EOS,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,7,3,21,0,0
EOS,1,1,1,1,1,1,0,1,1,0,1,1,1,0,1,6,3,55,0,0
EOS,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,3,37,279,2
EOS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,3,35,151,2
EOS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,3,69,32,2
EOS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,3,25,7,1
EOS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,2,290,102,1
EOS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,8,34,128,1
NEOS,1,1,1,1,1,1,0,1,1,0,1,1,1,1,0,5,1,184,19,0
NEOS,1,0,0,1,1,1,0,1,0,1,1,1,1,1,1,2,6,35,15,1
EOS,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,4,3,30,0,0
EOS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,2,98,20,2
EOS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,14,154,11,2
EOS,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,14,5,12,58,2
EOS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,11,7,1
EOS,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,7,4,152,60,1
EOS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,2,286,7,1
EOS,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,4,7,21,204,1
EOS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,2,32,39,2
EOS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,6,80,27,2
EOS,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,8,3,58,0,0
EOS,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,4,3,9,43,1
EOS,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,6,3,45,0,0
EOS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,2,24,113,2
EOS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,3,52,22,2
EOS,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,9,3,25,0,0
NEOS,1,0,0,1,1,1,1,1,0,1,1,1,1,1,1,2,7,37,57,1
EOS,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,7,3,139,0,0
EOS,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,4,8,131,99,1
EOS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,11,7,134,249,2
EOS,1,1,1,1,1,1,0,1,1,0,1,1,1,0,1,8,3,68,0,0
EOS,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,2,3,7,0,0
EOS,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,2,3,6,0,0
EOS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,3,107,112,1
EOS,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,7,2,42,50,1
EOS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,2,65,79,1
EOS,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,3,3,86,50,2
EOS,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,9,1,8,15,2
EOS,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,14,3,70,0,0
EOS,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,5,3,34,34,2
EOS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,8,5,19,10,2
EOS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,4,181,81,2
EOS,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,7,3,55,0,0
EOS,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,5,3,30,0,0
EOS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,3,91,15,2
EOS,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,8,3,90,0,0
EOS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,11,119,42,1
EOS,1,1,1,1,1,1,1,0,1,0,0,1,1,0,1,1,3,15,0,0
EOS,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,2,3,53,0,0
EOS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,4,25,23,1
EOS,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,2,3,24,0,0
EOS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,5,26,32,1
EOS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,3,56,27,2
NEOS,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,2,19,34,1
EOS,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1,3,3,37,0,0
EOS,1,1,1,1,1,1,0,1,0,0,1,1,1,0,1,9,3,28,0,0
EOS,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,6,3,36,0,0
EOS,1,1,1,1,1,0,0,1,1,0,1,1,1,0,1,3,3,22,0,0
EOS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,7,135,173,1
EOS,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,4,2,37,204,2
NEOS,1,1,0,1,1,1,0,1,0,0,1,1,1,1,0,4,1,66,25,0
EOS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,12,126,93,2
NEOS,1,0,0,1,1,1,1,0,0,1,1,1,1,1,1,3,4,13,15,1
EOS,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,11,3,17,85,2
EOS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,2,35,31,1
EOS,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,8,2,8,20,2
EOS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,4,84,24,2
EOS,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,9,3,40,0,0
EOS,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,3,2,42,10,2
NEOS,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,33,3,1
EOS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,3,29,139,2
EOS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,4,19,7,1
EOS,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,3,3,298,43,1
EOS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,11,2,13,29,2
EOS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,3,51,86,2
EOS,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,5,2,8,3,1
EOS,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,4,3,21,0,0
NEOS,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,11,32,1,1
EOS,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,12,3,81,0,0
EOS,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,5,8,227,167,2
EOS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,4,305,63,2
EOS,1,1,1,1,1,1,1,0,1,0,0,1,1,0,1,1,3,24,0,0
EOS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,8,3,97,42,1
EOS,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,10,3,41,0,0
EOS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,10,15,40,1
NEOS,1,0,0,1,1,1,1,0,0,1,1,1,1,1,1,2,6,83,35,1
NEOS,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,5,165,27,1
NEOS,1,0,0,1,1,1,0,1,0,1,1,1,1,1,1,3,6,8,33,1
EOS,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,8,2,23,107,2
EOS,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1,7,3,43,0,0
EOS,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,4,3,57,0,0
EOS,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,8,3,58,0,0
EOS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9,3,7,84,2
EOS,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,7,3,45,0,0
NEOS,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,7,40,2,1
EOS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,3,159,79,1
EOS,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,2,3,35,42,2
EOS,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,3,3,59,20,2
EOS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,8,8,156,37,1
EOS,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,7,3,157,0,0
EOS,1,1,1,1,1,1,1,0,1,0,1,1,1,0,1,5,3,67,0,0
EOS,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,3,5,32,19,1
EOS,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,10,3,275,0,0
EOS,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1,3,3,112,0,0
EOS,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,8,3,45,0,0
EOS,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,6,3,144,0,0
EOS,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,3,3,160,179,1
EOS,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,5,5,17,43,1
EOS,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1,3,3,11,0,0
EOS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9,6,27,13,2
EOS,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,3,1,29,75,1
NEOS,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,7,2,129,1
EOS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,7,71,130,1
EOS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,8,5,112,30,2
EOS,1,1,1,1,1,1,1,0,1,0,1,1,1,0,1,7,3,3,0,0
EOS,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,4,3,100,0,0
EOS,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,2,3,128,0,0
EOS,1,1,1,1,1,1,1,0,1,0,1,1,1,0,1,4,3,65,0,0
EOS,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,2,3,32,0,0
EOS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,11,7,163,45,2
EOS,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,4,1,6,1,1
EOS,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,11,3,47,0,0
EOS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,5,71,17,1
EOS,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,2,3,11,0,0
EOS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,80,128,2
EOS,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1,5,3,33,0,0
EOS,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,3,22,0,0
EOS,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,2,3,22,0,0
EOS,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,6,2,13,26,2
EOS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,8,2,22,53,2
EOS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,12,2,120,68,2
EOS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,5,43,2
EOS,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,3,1,16,189,2
EOS,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,2,3,87,0,0
EOS,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,6,5,83,29,2
EOS,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,2,3,70,61,2
EOS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9,3,39,30,2
EOS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,2,60,31,1
EOS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,2,145,59,2
EOS,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,5,1,10,13,1
EOS,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,9,2,9,31,1
EOS,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,7,2,87,82,2
EOS,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,5,1,19,24,2
EOS,1,1,1,1,1,0,0,1,1,0,1,1,1,0,1,4,3,12,0,0
EOS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,4,86,43,2
EOS,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,2,2,100,61,2
EOS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9,11,309,14,2
EOS,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,3,2,6,78,2
EOS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,2,12,15,1
EOS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,5,126,132,2
EOS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9,8,49,105,1
EOS,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,45,50,2
EOS,1,1,1,1,1,1,0,1,1,0,1,1,1,0,1,4,3,32,0,0
EOS,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,7,3,56,0,0
EOS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,4,190,174,2
EOS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,2,143,88,2
EOS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,8,4,197,41,2
EOS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,6,114,29,2
EOS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,11,4,13,28,1
EOS,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1,6,3,2,0,0
EOS,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,7,3,69,0,0
EOS,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1,5,3,7,0,0
EOS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,2,70,126,2
EOS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,55,209,2
EOS,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,5,9,48,66,2
EOS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,8,2,14,120,2
EOS,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,4,2,173,32,1
EOS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,73,25,2
EOS,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,2,1,50,62,0
EOS,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,3,9,26,40,1
NEOS,1,0,0,1,1,1,0,1,0,1,1,1,1,1,1,2,5,35,12,1
EOS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,3,28,62,2
EOS,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,6,3,67,0,0
EOS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,64,91,1
EOS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,8,8,102,47,2
EOS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,8,91,69,2
EOS,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,10,4,35,42,2
EOS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,3,25,87,1
EOS,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,4,3,20,12,1
EOS,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1,7,3,89,0,0
EOS,1,1,1,1,1,1,1,0,1,0,1,1,1,0,1,2,3,35,0,0
EOS,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1,5,3,10,0,0
EOS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,2,18,43,2
NEOS,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,7,69,14,1
EOS,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,4,3,263,65,2
EOS,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,7,2,56,42,2
EOS,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,6,3,123,0,0
EOS,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,4,2,147,142,2
EOS,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,12,5,67,81,1
EOS,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,7,7,103,103,2
EOS,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,2,3,96,0,0
EOS,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,8,2,21,33,2
EOS,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,3,18,0,0
EOS,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,5,3,57,0,0
EOS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,2,52,23,1
EOS,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,5,6,93,56,1
EOS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,6,17,46,2
EOS,1,1,1,1,1,1,1,0,1,0,1,1,1,0,1,6,3,324,0,0
EOS,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,2,3,134,0,0
NEOS,1,0,0,1,1,1,1,1,0,1,1,1,1,1,1,3,10,7,53,1
EOS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,20,3,1
EOS,1,1,1,1,1,1,1,0,1,0,1,1,1,0,1,3,3,71,0,0
EOS,1,1,1,1,1,0,0,1,1,0,1,1,1,1,1,4,2,32,53,2
EOS,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,6,1,30,9,1
EOS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9,9,84,22,1
NEOS,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,4,28,2,1
EOS,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,5,4,94,9,2
NEOS,1,0,0,1,1,1,1,0,0,0,1,1,1,1,1,3,1,41,1,1
EOS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,3,3,49,1
EOS,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,2,3,139,0,0
EOS,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,7,3,116,0,0
EOS,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,10,3,9,76,2
EOS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,2,22,58,1
EOS,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,2,3,97,0,0
EOS,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,7,3,10,0,0
EOS,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,10,3,114,0,0
EOS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,8,5,11,61,2
NEOS,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,3,5,67,16,1
EOS,1,1,1,1,1,0,0,1,1,0,1,1,1,0,1,4,3,26,0,0
EOS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,13,29,35,2
EOS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,4,20,30,1
EOS,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,5,5,42,36,2
NEOS,1,1,0,1,1,1,0,0,0,0,1,1,1,1,0,2,1,60,129,0
NEOS,1,1,0,1,1,1,0,0,0,0,1,1,1,1,1,5,1,16,58,1
EOS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9,3,128,17,2
EOS,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,6,3,43,0,0
EOS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,3,46,37,1
EOS,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,4,3,42,0,0
EOS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,13,4,68,62,2
EOS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9,3,14,88,1
EOS,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,3,5,7,17,2
EOS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,2,37,117,1
EOS,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,5,5,5,68,2
EOS,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,2,3,2,0,0
EOS,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,3,2,17,9,2
EOS,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,2,2,69,26,1
EOS,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,4,2,2,4,2
EOS,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,2,4,7,29,2
EOS,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1,2,3,83,0,0
EOS,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,9,1,42,10,1
EOS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,3,39,50,1
EOS,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,4,23,8,1
EOS,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,8,4,23,37,2
EOS,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,2,3,10,0,0
EOS,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1,3,3,228,0,0
EOS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,4,72,204,1
EOS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,2,94,137,1
NEOS,1,1,0,1,1,1,1,1,0,0,1,1,1,1,1,4,3,59,3,1
EOS,1,1,0,1,1,0,1,1,1,0,1,1,1,0,1,2,3,10,0,0
EOS,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,2,3,48,315,2
EOS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,3,18,83,2
EOS,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,8,3,16,0,0
EOS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,3,26,78,2
EOS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,8,165,60,1
EOS,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,15,1,140,103,1
EOS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,4,82,41,1
EOS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,3,30,10,2
EOS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,3,121,21,1
EOS,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,3,6,60,13,2
EOS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,2,111,28,2
EOS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,2,46,13,1
